순위_1개월박스	분류	로케이션	제품명	바코드	1개월_출고박스
832	슬림서랍장	320-A1-1-240	화이트앤컬러_슬림서랍장_화이트3단	R000240980008	0
833	에센셜	320-A1-1-901	보노하우스 세라비 우드상판 서랍장 크림 2단 1개	R212660740003	0
834	모던 플러스	320-A1-1-27	보노하우스 모던플러스 우드상판 서랍장 2단 티크 오크 1개 550 X 400 X 410mm	R240325740003	0
835	슬림서랍장	320-A1-1-242	화이트슬림3단 투명	1000000277845	0
836	옷걸이	320-A1-1-679	보노하우스 국내제조 회전형 논슬립 옷걸이 마린 30개	R256671670007	0
837	모던 플러스	320-A1-1-636	키즈플러스 내츄럴오크 상판 4단 서랍장	R004498740001	0
838	큐브정리함	320-A1-1-991	보노하우스 국내제조 모던 큐브 투명 정리함 3호 2개 8.2X16.4X3.1cm	R256047200003	0
839	에센셜	320-A1-1-923	모던 에센셜 서랍장 2단 그레이	R003750460006	0
840	에센셜	320-A1-1-787	보노하우스 에버 라탄 우드상판 서랍장 화이트 6단 1개	R214219120005	0
841	리빙박스 로코스	320-A1-1-164	보노하우스 로코스 수납 바스켓 M 라이트 화이트 4개	R012320360004	0
842	슬림서랍장	320-A1-1-206	모던 틈새 슬림서랍장 화이트 4단 2개	R004064670007	0
843	모던 플러스	320-A1-1-630	보노하우스 이노스 투명 우드상판 서랍장 3단  내츄럴 1개	R011102040001	0
844	모던 플러스	320-A1-1-21	001 코지 모던 체스트 3단 아이보리	R001022650001	0
845	에센셜	320-A1-1-773	보노하우스 에버 라탄 우드상판 서랍장 버터 2단 1개	R214219310024	0
846	슬림서랍장	320-A1-1-571	보노하우스 클래식 수납정리함 13리터 화이트 2개 1팩	R015858070005	0
847	와이드 서랍장	320-A1-1-707	보노하우스 에버 라탄 우드상판 와이드 서랍장 화이트 3단 1개	R214219320001	0
848	탑백 리빙박스	320-A1-2-167	보노하우스 컴포트 대형 리빙박스 민트 52리터 4개	R016233040009	0
849	에센셜	320-A1-1-849	보노하우스 라노보 우드상판 서랍장 그레이 5단 1개	R208443710001	0
850	에센셜	320-A1-1-891	보노하우스 가든 라탄 서랍장 버터 3단 1개	R208443840004	0
851	에센셜	320-A1-1-800	가든 라탄 플라스틱 서랍장 일반형 2단 크림	R010512110002	0
852	에센셜	320-A1-1-861	보노하우스 위클리 서랍장 그레이 6단 1개	R208070550020	0
853	북 트롤리	320-A1-2-108	보노하우스 베이직 이동식 북 트롤리 모던블루 6단 1개	R203810390002	0
854	와이드 서랍장	320-A1-1-709	보노하우스 에버 라탄 우드상판 와이드 서랍장브라운 4단 1개	R214219340003	0
855	모던 플러스	320-A1-1-633	보노하우스 이노스 투명 우드상판 서랍장 3단  화이트 1개	R011102040002	0
856	옷걸이	320-A1-1-681	보노하우스 국내제조 스마트 논슬립 옷걸이 화이트 10개	R256671570001	0
857	와이드 서랍장	320-A1-1-712	보노하우스 에버 라탄 우드상판 와이드 서랍장버터 5단 1개	R214219500019	0
858	와이드 서랍장	320-A1-1-702	보노하우스 에버 라탄 우드상판 와이드 서랍장 크림 2단 1개	R214219390008	0
859	와이드 서랍장	320-A1-1-717	보노하우스 에버 라탄 우드상판 와이드 서랍장브라운 6단 1개	R214219440013	0
860	옷걸이	320-A1-1-340	보노하우스 옷걸이 10P 구성 아동용	R210429210005	0
861	옷걸이	320-A1-1-360	보노하우스 리즈 논슬립 옷걸이 80P - 그린	R212219370009	0
862	탑백 리빙박스	320-A1-2-163	보노하우스 컴포트 대형 리빙박스 네이비 72리터 2개	R016233040007	0
863	탑백 리빙박스	320-A1-2-164	보노하우스 컴포트 대형 리빙박스 민트 72리터 2개	R016233040006	0
864	탑백 리빙박스	320-A1-2-178	보노하우스 컴포트 대형 리빙박스 버터 24리터 2개	R016233040011	0
865	에센셜	320-A1-1-934	보노하우스 심플리 베이직 서랍장 3단 라이트 그레이 1개	R013011260001	0
866	에센셜	320-A1-1-845	보노하우스 라노보 우드상판 서랍장 화이트 4단 1개	R208443740004	0
867	슬림서랍장	320-A1-1-216	화이트슬림5단 투명	1000000277869	0
868	북 트롤리	320-A1-2-131	보노하우스 어니스트 칸막이 정리함 화이트 1개	R211452140001	0
869	북 트롤리	320-A1-2-129	보노하우스 마벨 슬림 북트롤리 화이트 6단 1개	R204398010001	0
870	에센셜	320-A1-1-875	보노하우스 라노보 우드상판 서랍장 네이비 7단 1개	R213276420006	0
871	에센셜	320-A1-1-874	보노하우스 라노보 우드상판 서랍장 그레이 7단 1개	R213276400004	0
872	에센셜	320-A1-1-792	보노하우스 에버 라탄 우드상판 서랍장 브라운 7단 1개	R214219110004	0
873	에센셜	320-A1-1-883	보노하우스 시에나 우드상판 서랍장 화이트 3단 1개 340X420X627mm	R227054770001	0
874	에센셜	320-A1-1-785	보노하우스 에버 라탄 우드상판 서랍장 버터 5단 1개	R214219170010	0
875	에센셜	320-A1-1-817	보노하우스 가든 라탄 서랍장버터 6단 1개	R207232140002	0
